Date,Start (ET),Visitor team,Visitor team's points,Home team,Home team's points,Attendance,Arena,Notes
"Tue, Oct 18, 2022",7:30p,Philadelphia 76ers,117,Boston Celtics,126,"19,156",TD Garden,Regular Season
"Tue, Oct 18, 2022",10:00p,Los Angeles Lakers,109,Golden State Warriors,123,"18,064",Chase Center,Regular Season
"Wed, Oct 19, 2022",7:00p,Orlando Magic,109,Detroit Pistons,113,"20,190",Little Caesars Arena,Regular Season
"Wed, Oct 19, 2022",7:00p,Washington Wizards,114,Indiana Pacers,107,"15,027",Gainbridge Fieldhouse,Regular Season
"Wed, Oct 19, 2022",7:30p,Houston Rockets,107,Atlanta Hawks,117,"17,878",State Farm Arena,Regular Season
"Wed, Oct 19, 2022",7:30p,New Orleans Pelicans,130,Brooklyn Nets,108,"18,003",Barclays Center,Regular Season
"Wed, Oct 19, 2022",7:30p,New York Knicks,112,Memphis Grizzlies,115,"18,202",FedEx Forum,Regular Season
"Wed, Oct 19, 2022",7:30p,Chicago Bulls,116,Miami Heat,108,"19,600",Kaseya Center,Regular Season
"Wed, Oct 19, 2022",7:30p,Cleveland Cavaliers,105,Toronto Raptors,108,"19,800",Scotiabank Arena,Regular Season
"Wed, Oct 19, 2022",8:00p,Oklahoma City Thunder,108,Minnesota Timberwolves,115,"17,136",Target Center,Regular Season
"Wed, Oct 19, 2022",8:00p,Charlotte Hornets,129,San Antonio Spurs,102,"16,236",AT&T Center,Regular Season
"Wed, Oct 19, 2022",9:00p,Denver Nuggets,102,Utah Jazz,123,"18,206",Vivint Arena,Regular Season
"Wed, Oct 19, 2022",10:00p,Dallas Mavericks,105,Phoenix Suns,107,"17,071",Footprint Center,Regular Season
"Wed, Oct 19, 2022",10:00p,Portland Trail Blazers,115,Sacramento Kings,108,"17,611",Golden 1 Center,Regular Season
"Thu, Oct 20, 2022",7:30p,Milwaukee Bucks,90,Philadelphia 76ers,88,"20,060",Wells Fargo Center,Regular Season
"Thu, Oct 20, 2022",10:00p,Los Angeles Clippers,103,Los Angeles Lakers,97,"18,997",Crypto.com Arena,Regular Season
"Fri, Oct 21, 2022",7:00p,New Orleans Pelicans,124,Charlotte Hornets,112,"19,287",Spectrum Center,Regular Season
"Fri, Oct 21, 2022",7:00p,San Antonio Spurs,137,Indiana Pacers,134,"12,073",Gainbridge Fieldhouse,Regular Season
"Fri, Oct 21, 2022",7:00p,Chicago Bulls,100,Washington Wizards,102,"20,476",Capital One Arena,Regular Season
"Fri, Oct 21, 2022",7:30p,Orlando Magic,98,Atlanta Hawks,108,"17,822",State Farm Arena,Regular Season
"Fri, Oct 21, 2022",7:30p,Toronto Raptors,105,Brooklyn Nets,109,"17,732",Barclays Center,Regular Season
"Fri, Oct 21, 2022",7:30p,Boston Celtics,111,Miami Heat,104,"19,600",Kaseya Center,Regular Season
"Fri, Oct 21, 2022",7:30p,Detroit Pistons,106,New York Knicks,130,"19,812",Madison Square Garden (IV),Regular Season
"Fri, Oct 21, 2022",8:00p,Memphis Grizzlies,129,Houston Rockets,122,"18,055",Toyota Center,Regular Season
"Fri, Oct 21, 2022",8:00p,Utah Jazz,132,Minnesota Timberwolves,126,"17,136",Target Center,Regular Season
"Fri, Oct 21, 2022",10:00p,Denver Nuggets,128,Golden State Warriors,123,"18,064",Chase Center,Regular Season
"Fri, Oct 21, 2022",10:00p,Phoenix Suns,111,Portland Trail Blazers,113,"19,393",Moda Center,Regular Season
"Sat, Oct 22, 2022",6:00p,San Antonio Spurs,114,Philadelphia 76ers,105,"19,822",Wells Fargo Center,Regular Season
"Sat, Oct 22, 2022",7:00p,Detroit Pistons,115,Indiana Pacers,124,"16,056",Gainbridge Fieldhouse,Regular Season
"Sat, Oct 22, 2022",7:00p,Boston Celtics,126,Orlando Magic,120,"19,299",Amway Center,Regular Season
"Sat, Oct 22, 2022",8:00p,Cleveland Cavaliers,128,Chicago Bulls,96,"21,089",United Center,Regular Season
"Sat, Oct 22, 2022",8:00p,Toronto Raptors,109,Miami Heat,112,"19,600",Kaseya Center,Regular Season
"Sat, Oct 22, 2022",8:00p,Houston Rockets,105,Milwaukee Bucks,125,"17,341",Fiserv Forum,Regular Season
"Sat, Oct 22, 2022",8:30p,Memphis Grizzlies,96,Dallas Mavericks,137,"20,377",American Airlines Center,Regular Season
"Sat, Oct 22, 2022",9:00p,Oklahoma City Thunder,117,Denver Nuggets,122,"19,983",Ball Arena,Regular Season
"Sat, Oct 22, 2022",10:00p,Los Angeles Clippers,111,Sacramento Kings,109,"16,296",Golden 1 Center,Regular Season
"Sun, Oct 23, 2022",3:30p,Portland Trail Blazers,106,Los Angeles Lakers,104,"18,997",Crypto.com Arena,Regular Season
"Sun, Oct 23, 2022",5:00p,Charlotte Hornets,126,Atlanta Hawks,109,"17,383",State Farm Arena,Regular Season
"Sun, Oct 23, 2022",7:00p,Washington Wizards,107,Cleveland Cavaliers,117,"19,432",Rocket Mortgage Fieldhouse,Regular Season
"Sun, Oct 23, 2022",7:00p,Utah Jazz,122,New Orleans Pelicans,121,"18,665",Smoothie King Center,Regular Season
"Sun, Oct 23, 2022",8:00p,Minnesota Timberwolves,116,Oklahoma City Thunder,106,"15,044",Paycom Center,Regular Season
"Sun, Oct 23, 2022",8:30p,Sacramento Kings,125,Golden State Warriors,130,"18,064",Chase Center,Regular Season
"Sun, Oct 23, 2022",10:00p,Phoenix Suns,112,Los Angeles Clippers,95,"19,068",Crypto.com Arena,Regular Season
"Mon, Oct 24, 2022",7:00p,Indiana Pacers,106,Philadelphia 76ers,120,"19,786",Wells Fargo Center,Regular Season
