Date,Start (ET),Visitor team,Visitor team's points,Home team,Home team's points,Attendance,Arena,Notes
"Tue, October 19, 2021",7:30p,Brooklyn Nets,104,Milwaukee Bucks,127,"17,341",Fiserv Forum,Regular Season
"Tue, October 19, 2021",10:00p,Golden State Warriors,121,Los Angeles Lakers,114,"18,997",Crypto.com Arena,Regular Season
"Wed, October 20, 2021",7:00p,Indiana Pacers,122,Charlotte Hornets,123,"15,521",Spectrum Center,Regular Season
"Wed, October 20, 2021",7:00p,Chicago Bulls,94,Detroit Pistons,88,"20,088",Little Caesars Arena,Regular Season
"Wed, October 20, 2021",7:30p,Boston Celtics,134,New York Knicks,138,"19,812",Madison Square Garden (IV),Regular Season
"Wed, October 20, 2021",7:30p,Washington Wizards,98,Toronto Raptors,83,"19,800",Scotiabank Arena,Regular Season
"Wed, October 20, 2021",8:00p,Cleveland Cavaliers,121,Memphis Grizzlies,132,"15,975",FedEx Forum,Regular Season
"Wed, October 20, 2021",8:00p,Houston Rockets,106,Minnesota Timberwolves,124,"16,079",Target Center,Regular Season
"Wed, October 20, 2021",8:00p,Philadelphia 76ers,117,New Orleans Pelicans,97,"12,845",Smoothie King Center,Regular Season
"Wed, October 20, 2021",8:30p,Orlando Magic,97,San Antonio Spurs,123,"16,697",AT&T Center,Regular Season
"Wed, October 20, 2021",9:00p,Oklahoma City Thunder,86,Utah Jazz,107,"18,306",Vivint SMarcht Home Arena,Regular Season
"Wed, October 20, 2021",10:00p,Sacramento Kings,124,Portland Trail Blazers,121,"17,467",Moda Center,Regular Season
"Wed, October 20, 2021",10:00p,Denver Nuggets,110,Phoenix Suns,98,"16,074",Phoenix Suns Arena,Regular Season
"Thu, October 21, 2021",7:30p,Dallas Mavericks,87,Atlanta Hawks,113,"17,162",State Farm Arena,Regular Season
"Thu, October 21, 2021",8:00p,Milwaukee Bucks,95,Miami Heat,137,"19,600",FTX Arena,Regular Season
"Thu, October 21, 2021",10:00p,Los Angeles Clippers,113,Golden State Warriors,115,"18,064",Chase Center,Regular Season
